Grandezza,Valore,Giorno,Mese,Anno
TEMPARIA2M_MING,"-0,9",19,11,2017
TEMPARIA2M_MING,"-0,6",20,11,2017
TEMPARIA2M_MING,"3,1",21,11,2017
TEMPARIA2M_MING,"3,1",22,11,2017
TEMPARIA2M_MING,4,23,11,2017
TEMPARIA2M_MING,"7,1",24,11,2017
TEMPARIA2M_MING,"10,7",25,11,2017
TEMPARIA2M_MING,"3,3",26,11,2017
TEMPARIA2M_MING,"-3,3",27,11,2017
TEMPARIA2M_MING,-4,28,11,2017
TEMPARIA2M_MING,"5,9",29,11,2017
TEMPARIA2M_MING,-1,30,11,2017
TEMPARIA2M_MING,"-1,5",1,12,2017
TEMPARIA2M_MING,"-1,1",2,12,2017
TEMPARIA2M_MING,"-0,1",3,12,2017
TEMPARIA2M_MING,"-2,8",4,12,2017
TEMPARIA2M_MING,"-2,8",5,12,2017
TEMPARIA2M_MING,"-1,7",6,12,2017
TEMPARIA2M_MING,"1,8",7,12,2017
TEMPARIA2M_MING,"3,5",8,12,2017
TEMPARIA2M_MING,"-5,4",9,12,2017
TEMPARIA2M_MING,"-6,2",10,12,2017
TEMPARIA2M_MING,"11,1",11,12,2017
TEMPARIA2M_MING,"9,5",12,12,2017
TEMPARIA2M_MING,"0,7",13,12,2017
TEMPARIA2M_MING,"0,5",14,12,2017
TEMPARIA2M_MING,4,15,12,2017
TEMPARIA2M_MING,"-0,5",16,12,2017
TEMPARIA2M_MING,"0,7",17,12,2017
TEMPARIA2M_MING,"-3,3",18,12,2017
TEMPARIA2M_MING,"-3,7",19,12,2017
TEMPARIA2M_MING,"-2,5",20,12,2017
TEMPARIA2M_MING,"-3,6",21,12,2017
TEMPARIA2M_MING,"-1,8",22,12,2017
TEMPARIA2M_MING,"-0,5",23,12,2017
TEMPARIA2M_MING,"-0,1",24,12,2017
TEMPARIA2M_MING,"-1,4",25,12,2017
TEMPARIA2M_MING,"1,9",26,12,2017
TEMPARIA2M_MING,"6,9",27,12,2017
TEMPARIA2M_MING,"-0,8",28,12,2017
TEMPARIA2M_MING,"-1,8",29,12,2017
TEMPARIA2M_MING,"-0,3",30,12,2017
TEMPARIA2M_MING,"1,9",31,12,2017
TEMPARIA2M_MAXG,"13,8",1,1,2017
TEMPARIA2M_MAXG,"13,3",2,1,2017
TEMPARIA2M_MAXG,"14,4",3,1,2017
TEMPARIA2M_MAXG,"11,7",4,1,2017
TEMPARIA2M_MAXG,"9,3",5,1,2017
TEMPARIA2M_MAXG,3,6,1,2017
TEMPARIA2M_MAXG,3,7,1,2017
TEMPARIA2M_MAXG,"2,8",8,1,2017
TEMPARIA2M_MAXG,"9,1",9,1,2017
TEMPARIA2M_MAXG,"8,8",10,1,2017
TEMPARIA2M_MAXG,"7,6",11,1,2017
TEMPARIA2M_MAXG,"10,1",12,1,2017
TEMPARIA2M_MAXG,"11,4",13,1,2017
TEMPARIA2M_MAXG,"9,3",14,1,2017
TEMPARIA2M_MAXG,"6,9",15,1,2017
